zaman_ms,irtifa_m,basinc_hPa,ivme_x_g,ivme_y_g,ivme_z_g,sicaklik_C,durum
10800,1659.61,740.43,-0.004,-0.145,-1.002,8.25,3
10900,1678.91,738.8,-0.071,0.031,-1.041,8.17,3
11000,1695.97,737.15,0.015,0.056,-0.969,7.94,3
11100,1713.01,735.64,0.004,-0.014,-0.888,7.62,3
11200,1731.19,734.02,-0.015,-0.122,-0.905,7.74,3
11300,1749.39,732.55,-0.009,0.019,-0.887,7.66,3
11400,1765.8,730.93,0.056,-0.042,-0.801,7.6,3
11500,1782.98,729.27,-0.001,-0.049,-0.833,7.56,3
11600,1800.22,727.87,-0.004,0.022,-0.92,7.24,3
11700,1815.76,726.41,-0.023,0.037,-0.825,7.32,3
11800,1833.8,725.0,0.047,0.057,-0.813,6.97,3
11900,1848.17,723.48,0.074,-0.036,-0.761,6.8,3
12000,1863.98,722.07,-0.034,-0.036,-0.683,6.89,3
12100,1880.55,720.6,0.021,-0.035,-0.742,6.94,3
12200,1896.08,719.1,-0.033,0.038,-0.682,6.73,3
12300,1912.65,717.78,0.064,0.01,-0.683,6.14,3
12400,1927.69,716.48,0.095,0.009,-0.733,6.35,3
12500,1942.6,715.14,-0.032,-0.053,-0.617,6.34,3
12600,1957.34,713.76,0.07,0.056,-0.703,6.27,3
12700,1971.7,712.57,0.022,-0.014,-0.661,6.26,3
12800,1986.82,711.25,-0.046,-0.062,-0.576,6.02,3
12900,2002.37,709.93,-0.068,-0.03,-0.616,5.96,3
13000,2016.1,708.59,-0.004,0.05,-0.55,5.78,3
13100,2030.02,707.36,-0.067,0.047,-0.567,5.88,3
13200,2044.17,706.18,0.048,0.058,-0.583,5.76,3
13300,2057.94,704.89,0.049,0.003,-0.569,5.71,3
13400,2072.35,703.67,-0.032,0.036,-0.528,5.5,3
13500,2086.3,702.51,-0.097,-0.04,-0.595,5.62,3
13600,2099.36,701.34,-0.116,-0.074,-0.53,5.09,3
13700,2112.96,700.17,-0.007,-0.003,-0.55,5.11,3
13800,2124.44,699.02,0.02,-0.012,-0.511,5.04,3
13900,2138.76,697.77,-0.055,-0.033,-0.508,5.13,3
14000,2151.39,696.78,0.062,0.069,-0.451,5.2,3
14100,2165.29,695.68,-0.07,0.05,-0.505,5.21,3
14200,2177.9,694.54,-0.055,-0.034,-0.457,5.04,3
14300,2188.59,693.54,-0.103,0.061,-0.446,4.8,3
14400,2201.59,692.47,0.019,0.084,-0.504,4.55,3
14500,2213.03,691.41,-0.084,0.122,-0.419,4.79,3
14600,2225.31,690.34,0.031,-0.035,-0.422,4.77,3
14700,2238.56,689.34,0.099,-0.097,-0.391,4.4,3
14800,2250.42,688.35,0.058,-0.03,-0.371,4.54,3
14900,2261.98,687.25,-0.034,0.012,-0.328,4.4,3
15000,2273.53,686.21,-0.014,0.025,-0.363,3.94,3
15100,2284.74,685.35,-0.023,0.06,-0.434,4.08,3
15200,2295.84,684.39,-0.011,-0.008,-0.366,4.21,3
15300,2306.23,683.46,-0.104,0.061,-0.25,4.08,3
15400,2317.34,682.46,0.035,-0.033,-0.372,3.62,3
15500,2328.37,681.55,-0.012,-0.0,-0.359,3.89,3
15600,2338.29,680.64,-0.014,-0.085,-0.371,3.71,3
15700,2349.19,679.76,-0.02,-0.003,-0.331,3.34,3
15800,2359.9,678.82,-0.008,-0.038,-0.28,3.65,3
15900,2370.73,678.02,-0.028,0.041,-0.289,3.43,3
16000,2380.44,677.12,0.063,-0.017,-0.228,3.64,3
16100,2389.31,676.21,0.029,-0.073,-0.264,3.67,3
16200,2400.37,675.49,0.066,-0.003,-0.278,3.42,3
16300,2410.62,674.51,-0.007,-0.084,-0.283,3.3,3
16400,2418.97,673.7,-0.02,0.108,-0.318,3.29,3
16500,2429.1,672.94,0.049,0.016,-0.238,3.28,3
16600,2439.44,672.05,0.019,-0.004,-0.233,3.27,3
16700,2448.68,671.41,-0.059,0.022,-0.246,3.07,3
16800,2458.42,670.57,-0.033,-0.066,-0.247,3.19,3
16900,2465.73,669.84,-0.127,-0.035,-0.212,2.89,3
17000,2474.99,669.06,0.049,0.075,-0.163,3.01,3
17100,2484.78,668.38,-0.058,-0.048,-0.165,2.98,3
17200,2493.82,667.61,-0.041,-0.054,-0.173,2.96,3
17300,2501.24,666.84,-0.005,0.044,-0.219,2.61,3
17400,2511.0,666.2,-0.035,-0.033,-0.155,2.49,3
17500,2518.62,665.49,0.008,0.046,-0.262,2.63,3
17600,2527.24,664.79,0.029,-0.058,-0.131,2.64,3
17700,2535.54,664.06,0.009,0.067,-0.184,2.55,3
17800,2543.43,663.34,-0.009,0.035,-0.197,2.46,3
17900,2551.14,662.68,0.04,-0.068,-0.156,2.4,3
18000,2558.76,662.11,0.038,0.041,-0.185,2.34,3
18100,2566.14,661.4,0.048,-0.055,-0.192,2.37,3
18200,2573.42,660.86,-0.042,-0.057,-0.181,2.14,3
18300,2581.84,660.29,0.034,0.023,-0.178,2.18,3
18400,2589.1,659.61,0.006,-0.061,-0.079,1.97,3
18500,2596.17,659.05,-0.039,0.05,-0.202,2.01,3
18600,2601.97,658.47,-0.062,-0.037,-0.111,2.12,3
18600,2601.97,658.47,-0.062,-0.037,-0.111,2.12,3
18700,2611.03,657.86,0.042,-0.027,-0.141,2.13,3
18800,2617.75,657.31,-0.041,-0.058,-0.183,1.91,3
18900,2624.03,656.64,-0.012,0.028,-0.089,1.85,3
19000,2631.11,656.08,-0.036,0.002,-0.151,1.77,3
19100,2637.51,655.55,0.002,-0.009,-0.1,1.96,3
19200,2643.89,655.04,0.047,0.007,-0.152,1.83,3
19300,2649.8,654.42,-0.051,-0.022,-0.131,1.53,3
19400,2656.21,654.05,-0.06,0.009,-0.19,1.8,3
19500,2662.22,653.45,0.052,0.02,-0.068,1.73,3
19600,2668.8,653.0,0.018,-0.008,-0.128,1.62,3
19700,2673.75,652.53,0.018,0.003,-0.076,1.56,3
19800,2680.35,652.06,0.092,-0.068,-0.015,1.46,3
19900,2685.84,651.6,0.025,-0.005,-0.083,1.74,3
20000,2693.19,651.15,0.031,-0.008,-0.023,1.48,3
20100,2697.45,650.62,-0.135,0.109,-0.043,1.59,3
20200,2701.99,650.15,-0.015,0.003,-0.053,1.43,3
20300,2708.59,649.81,0.012,0.054,-0.105,1.45,3
20400,2712.68,649.34,0.072,0.051,-0.054,1.55,3
20500,2718.31,649.02,-0.045,-0.01,-0.057,1.17,3
20600,2722.66,648.49,0.031,-0.026,-0.059,1.37,3
20700,2727.84,648.15,0.004,0.018,-0.014,1.1,3
20800,2732.75,647.7,0.069,-0.093,-0.057,1.17,3
20900,2737.01,647.41,0.024,-0.05,-0.043,1.24,3
21000,2741.47,646.93,0.036,0.032,-0.038,1.09,3
21100,2747.08,646.81,0.005,0.023,-0.089,1.02,3
21200,2751.74,646.4,-0.015,-0.036,-0.091,1.02,3
21300,2754.98,645.88,-0.039,0.043,-0.059,0.96,3
21400,2758.39,645.65,-0.056,-0.011,-0.011,1.13,3
21500,2763.3,645.29,-0.051,-0.04,-0.067,0.6,3
21600,2766.81,644.94,-0.008,-0.01,-0.038,1.04,3
21700,2771.87,644.64,0.038,-0.034,-0.031,1.02,3
21800,2774.5,644.25,-0.071,0.019,,0.92,3
21900,2777.87,644.04,0.025,0.089,-0.039,0.91,3
22000,2781.98,643.81,0.112,0.025,-0.094,0.91,3
22100,2784.57,643.42,0.088,-0.02,-0.063,1.09,3
22200,2788.63,643.14,0.001,-0.071,-0.066,0.9,3
22300,2790.29,642.97,0.011,0.041,-0.045,0.91,3
22400,2794.36,642.64,0.004,0.0,-0.028,1.03,3
22500,2797.82,642.46,0.016,0.007,-0.01,0.55,3
22600,2800.58,642.26,-0.016,0.034,-0.006,0.34,3
22700,2802.95,641.94,-0.035,-0.023,-0.04,0.65,3
22800,2806.07,641.65,0.096,0.068,0.013,0.74,3
22900,2808.54,641.66,-0.048,0.07,-0.008,0.6,3
23000,2811.12,641.31,-0.033,-0.072,-0.002,0.58,3
23100,2814.5,641.12,0.006,0.004,-0.033,0.69,3
23200,2816.47,641.06,-0.066,-0.037,-0.032,0.5,3
23300,2817.79,640.68,-0.005,-0.029,-0.009,0.46,3
23300,2817.79,640.68,-0.005,-0.029,-0.009,0.46,3
23400,2820.18,640.63,0.035,-0.081,0.018,0.57,3
23500,2822.07,640.46,0.042,-0.128,0.02,0.57,3
23600,2824.34,640.25,0.049,0.058,-0.001,0.74,3
23700,2827.75,640.12,-0.056,0.021,0.014,0.59,3
23800,2828.09,640.08,-0.018,-0.05,-0.12,0.72,3
23900,2830.6,639.79,0.024,-0.022,-0.009,0.5,3
24000,2831.37,639.76,-0.03,-0.038,-0.051,0.75,3
24100,2832.32,639.64,-0.066,-0.111,-0.032,0.61,3
24200,2834.81,639.54,0.012,-0.129,0.01,0.34,3
24300,2834.98,639.48,0.046,-0.058,-0.022,0.68,3
24400,2836.46,639.29,-0.06,0.023,0.02,0.43,3
24500,2836.38,639.31,-0.039,0.017,-0.04,0.43,3
24600,2839.11,639.13,0.035,0.036,-0.026,0.58,3
24700,2839.85,639.14,-0.016,-0.003,-0.042,0.65,3
24800,2840.2,638.95,-0.02,-0.009,-0.028,0.42,3
24900,2839.81,638.97,-0.024,0.043,-0.008,0.65,3
25000,2840.63,638.94,0.034,0.035,-0.014,0.39,3
25100,2842.8,638.87,-0.061,-0.012,0.011,0.42,3
25200,2842.41,638.9,-0.004,0.049,-0.006,0.45,3
25300,2843.37,638.86,0.004,-0.091,-0.056,0.27,3
25400,2842.56,638.82,0.019,0.05,-0.062,0.32,3
25500,2842.1,638.84,0.013,-0.053,-0.029,0.58,3
25600,2842.65,638.87,-0.042,-0.008,-0.041,0.69,3
25700,2843.08,638.85,0.047,0.067,0.057,0.77,4
25800,2841.82,638.81,0.063,-0.022,-0.071,0.46,4
25900,2842.53,638.85,0.038,0.015,-0.054,0.59,4
26000,2841.5,638.88,-0.071,0.08,-0.036,0.22,4
26100,2841.46,638.93,0.059,-0.005,-0.0,0.62,4
26200,2839.85,639.1,-0.045,0.028,1.021,0.3,5
26300,2838.63,639.26,-0.022,-0.055,1.213,0.4,5
26400,2836.62,639.31,0.021,-0.066,0.867,0.48,5
26500,2834.2,639.56,-0.013,0.009,1.019,0.36,5
26600,2831.56,639.77,-0.064,-0.044,0.956,0.49,5
26700,2828.42,639.81,0.026,-0.085,1.055,0.61,5
26800,2827.31,640.08,-0.003,0.049,0.985,0.85,5
26900,2825.23,640.18,0.031,-0.036,0.99,0.59,5
27000,2822.91,640.39,-0.034,-0.031,0.964,0.74,5
27100,2820.05,640.66,0.034,-0.008,1.066,0.51,5
27200,2818.16,640.86,-0.016,0.058,1.09,0.8,5
27300,2816.15,640.98,0.02,-0.04,1.005,0.66,5
27400,2812.93,641.14,-0.007,0.072,1.062,0.59,5
27500,2811.03,641.42,-0.065,-0.116,0.947,0.93,5
27600,2808.43,641.66,-0.009,-0.07,1.109,0.9,5
27700,2805.69,641.79,0.016,0.006,1.022,0.82,5
27800,2803.72,641.97,0.018,0.029,1.017,0.95,5
27900,2801.25,642.21,-0.037,0.033,1.104,0.82,5
28000,2798.37,642.31,-0.018,-0.028,1.033,0.64,5
28100,2796.28,642.59,-0.082,-0.03,1.151,0.69,5
28200,2795.29,642.76,0.075,-0.045,1.003,0.83,5
28300,2791.84,642.87,-0.053,0.065,0.96,0.93,5
28400,2788.19,643.0,0.088,-0.069,1.139,0.62,5
28500,2786.79,643.37,-0.042,-0.128,0.802,1.17,5
28600,2784.89,643.55,-0.094,0.049,0.863,0.88,5
28700,2782.05,643.8,0.13,0.01,1.119,0.83,5
28800,2778.9,643.91,-0.003,-0.009,1.096,1.06,5
28900,2775.95,644.19,0.087,-0.028,1.029,0.87,5
29000,2774.29,644.41,0.068,0.035,0.878,1.08,5
29100,2772.82,644.49,-0.028,-0.026,0.828,0.72,5
29200,2769.4,644.76,0.059,-0.078,0.927,0.97,5
29300,2767.17,644.94,-0.083,-0.046,1.177,0.97,5
29400,2765.31,645.1,-0.003,0.068,1.036,1.15,5
29500,2762.88,645.25,-0.106,-0.023,0.979,0.96,5
29600,2759.94,645.43,-0.076,0.031,1.006,1.05,5
29700,2757.49,645.69,0.051,-0.057,0.82,1.06,5
29800,2755.34,645.95,-0.09,-0.045,1.004,0.95,5
29900,2753.2,646.07,0.117,-0.054,1.007,1.17,5
30000,2750.88,646.32,0.007,0.033,0.914,1.07,5
30100,2748.68,646.52,-0.037,-0.015,1.194,1.14,5
30200,2745.46,646.67,0.075,0.023,0.859,1.14,5
30300,2742.6,646.86,-0.021,-0.011,0.961,1.21,5
30400,2740.74,647.16,-0.022,-0.072,1.007,1.38,5
30500,2738.54,647.25,-0.024,-0.073,0.87,1.51,5
30600,2736.08,647.49,-0.028,-0.037,0.899,1.28,5
30700,2734.67,647.63,0.061,0.004,0.986,1.29,5
30800,2731.76,647.81,-0.009,-0.014,1.048,1.43,5
30900,2729.65,648.1,0.058,-0.023,1.012,1.27,5
31000,2726.05,648.19,-0.001,-0.031,1.154,1.28,5
31100,2724.58,648.46,-0.062,-0.036,0.981,1.17,5
31200,2722.21,648.58,0.085,0.058,0.906,1.02,5
31300,2719.79,648.77,-0.018,0.025,0.877,1.42,5
31400,2717.6,649.06,0.044,0.038,0.836,0.96,5
31500,2715.76,649.19,-0.042,0.006,1.066,1.45,5
31600,2712.15,649.39,0.026,0.035,0.861,1.24,5
31700,2709.88,649.58,-0.025,0.027,1.003,1.36,5
31800,2707.97,649.79,0.011,0.006,0.915,1.27,5
31900,2705.03,650.06,-0.045,0.035,1.036,1.51,5
32000,2702.66,650.23,0.021,-0.082,1.043,1.25,5
32100,2700.41,650.43,-0.034,0.025,0.868,1.46,5
32200,2698.44,650.69,-0.103,0.036,0.912,1.59,5
32300,2695.4,650.78,-0.001,0.006,1.072,1.65,5
32400,2692.94,651.03,-0.014,-0.012,0.86,1.64,5
32500,2690.05,651.14,-0.021,-0.007,1.093,1.49,5
32600,2689.56,651.35,0.009,0.052,1.117,1.58,5
32700,2685.72,651.6,0.05,-0.052,0.958,1.81,5
32800,2683.75,651.83,0.029,-0.007,0.977,1.79,5
32900,2680.44,652.04,0.064,-0.047,0.96,1.63,5
33000,2678.93,652.28,0.039,0.031,1.015,1.5,5
33100,2676.38,652.34,0.029,0.06,0.976,1.49,5
33200,2675.03,652.55,-0.059,-0.072,0.922,1.81,5
33300,2672.03,652.74,0.044,-0.007,1.132,1.97,5
33400,2668.46,653.07,-0.005,-0.006,0.923,1.77,5
33500,2667.04,653.23,-0.016,0.071,1.126,1.94,5
33600,2663.74,653.42,0.023,-0.042,0.877,1.83,5
33700,2662.26,653.58,0.028,0.003,1.181,1.65,5
33800,2659.59,653.85,-0.022,0.049,1.011,1.66,5
33900,2657.26,654.05,-0.03,-0.142,0.853,1.56,5
34000,2654.57,654.1,0.055,0.013,0.888,1.66,5
34100,2652.13,654.38,-0.111,-0.001,1.037,2.01,5
34200,2650.13,654.47,0.008,-0.098,1.032,1.74,5
34300,2648.17,654.74,-0.063,-0.025,0.946,1.95,5
34400,2644.94,655.0,-0.044,0.018,0.88,1.75,5
34500,2642.85,655.13,0.013,-0.073,0.876,1.92,5
34600,2640.15,655.32,0.045,-0.053,1.079,1.79,5
34700,2638.9,655.6,-0.109,-0.108,0.88,1.93,5
34800,2636.49,655.76,-0.054,0.021,1.009,1.74,5
34900,2632.7,655.92,-0.029,0.088,0.873,1.94,5
35000,2631.79,656.1,0.038,-0.043,1.007,1.97,5
35100,2628.21,656.34,0.025,-0.011,1.003,2.2,5
35200,2626.11,656.57,0.017,0.07,0.706,,5
35300,2624.37,656.86,0.083,-0.064,1.167,1.9,5
35400,2621.28,656.92,-0.025,0.039,0.995,1.99,5
35500,2618.52,657.12,0.058,-0.085,1.013,1.78,5
35600,2618.07,657.28,0.061,0.071,0.932,1.79,5
35700,2613.45,657.55,0.068,0.035,0.99,2.09,5
35800,2610.88,657.7,0.023,-0.003,1.042,2.16,5
35900,2610.13,657.84,0.001,0.008,0.797,2.07,5
36000,2606.4,658.13,0.009,-0.035,0.967,1.93,5
36100,2604.29,658.35,-0.016,0.019,1.016,2.0,5
36200,2601.24,658.56,-0.01,0.105,1.084,1.96,5
36300,2599.88,658.73,-0.122,0.019,1.08,2.11,5
36400,2598.01,658.93,-0.013,-0.079,0.926,1.95,5
36500,2594.97,659.1,-0.011,0.071,1.114,2.13,5
36600,2592.65,659.37,-0.019,-0.021,1.181,2.14,5
36700,2589.98,659.52,-0.008,-0.067,1.077,2.07,5
36800,2587.67,659.69,0.061,0.03,0.875,2.04,5
36900,2584.81,659.85,-0.085,0.034,0.986,2.01,5
37000,2583.3,660.06,-0.032,0.047,1.06,2.14,5
37100,2580.67,660.27,-0.053,0.054,1.075,2.36,5
37200,2577.61,660.52,0.051,0.061,0.98,2.3,5
37300,2575.54,660.79,-0.009,0.021,0.914,2.38,5
37400,2572.89,660.81,-0.06,-0.017,1.033,2.3,5
37500,2570.09,661.03,0.028,0.087,1.097,2.2,5
37600,2569.27,661.26,-0.019,0.049,1.078,2.18,5
37700,2565.5,661.45,0.014,-0.066,0.967,2.18,5
37800,2563.41,661.71,-0.079,0.009,1.013,2.21,5
37900,2561.75,662.0,0.007,0.009,0.99,2.24,5
38000,2558.55,662.21,-0.064,-0.009,1.082,2.26,5
38100,2556.31,662.33,-0.005,0.051,1.072,2.49,5
38200,2553.44,662.49,-0.085,0.024,0.972,2.5,5
38300,2551.86,662.75,-0.094,-0.04,0.952,2.49,5
38400,2549.04,662.92,0.089,0.01,1.098,2.39,5
38500,2547.12,663.15,0.047,-0.045,0.849,2.12,5
38600,2544.93,663.29,-0.022,-0.011,1.109,2.6,5
38700,2541.95,663.5,0.055,-0.083,1.114,2.28,5
38800,2539.95,663.68,0.011,-0.057,1.022,2.43,5
38900,2537.83,664.03,0.0,-0.0,0.967,2.46,5
39000,2533.71,664.09,-0.078,-0.096,1.074,2.48,5
39100,2533.34,664.32,-0.022,-0.038,1.029,2.46,5
39200,2529.63,664.48,-0.005,-0.019,0.981,2.4,5
39300,2527.96,664.72,-0.04,-0.049,1.183,2.51,5
39400,2525.48,664.9,0.012,-0.094,0.963,2.29,5
39500,2522.57,665.21,-0.04,0.006,0.98,2.81,5
39600,2520.87,665.41,-0.085,-0.031,1.018,2.6,5
39700,2518.66,665.49,-0.035,0.021,0.914,2.47,5
39800,2515.54,665.78,0.037,0.02,0.893,2.56,5
39900,2512.48,665.93,0.047,-0.084,1.039,2.33,5
40000,2510.17,666.09,-0.02,0.06,0.89,2.53,5
40100,2508.08,666.3,-0.07,0.01,0.927,2.83,5
40200,2505.07,666.61,0.022,0.06,1.089,2.8,5
40300,2504.41,666.7,-0.033,-0.015,1.093,2.95,5
40400,2501.53,666.93,-0.014,0.025,0.978,2.82,5
40500,2498.45,667.16,0.012,0.056,1.015,2.79,5
40600,2497.44,667.4,-0.046,-0.072,0.994,2.51,5
40700,2493.29,667.57,-0.041,0.047,1.056,2.81,5
40800,2490.86,667.61,-0.029,0.02,0.982,2.9,5
40900,2489.29,667.95,-0.007,0.005,0.993,2.97,5
41000,2487.14,668.1,-0.077,0.059,0.963,2.78,5
41100,2484.56,668.36,-0.004,-0.074,0.973,2.83,5
41200,2482.15,668.6,0.039,-0.066,1.04,2.93,5
41300,2480.52,668.72,-0.067,-0.091,0.934,2.81,5
41400,2475.89,668.95,0.055,-0.034,0.988,2.8,5
41500,2475.63,669.18,0.043,0.116,0.93,2.91,5
41600,2473.3,669.4,-0.045,-0.041,1.026,3.01,5
41700,2470.37,669.54,0.031,0.032,1.003,2.76,5
41800,2467.4,669.68,0.039,0.021,1.075,2.95,5
41900,2464.38,670.03,0.031,0.045,0.996,2.97,5
42000,2462.39,670.12,0.1,0.017,0.999,2.78,5
42100,2460.63,670.31,-0.055,-0.011,0.917,3.2,5
42200,2457.62,670.58,-0.025,0.041,0.913,2.82,5
42300,2454.7,670.74,0.023,0.002,0.935,2.84,5
42400,2453.0,670.98,0.125,-0.035,0.973,2.88,5
42500,2449.64,671.13,0.051,-0.003,0.961,2.99,5
42600,2448.09,671.41,0.08,-0.013,1.029,3.36,5
42700,2445.69,671.56,0.044,0.033,0.951,3.06,5
42800,2444.12,671.86,-0.064,0.061,1.019,3.21,5
42900,2441.29,672.0,-0.033,0.058,0.922,3.36,5
43000,2438.02,672.09,0.035,-0.045,0.844,3.28,5
43100,2435.99,672.45,0.027,-0.001,1.093,2.95,5
43200,2434.12,672.55,-0.05,-0.066,1.018,3.28,5
43300,2432.01,672.76,0.08,-0.051,1.08,3.13,5
43400,2428.85,673.02,0.054,0.016,0.79,3.32,5
43500,2428.0,673.2,0.007,0.05,0.814,3.19,5
43600,2424.52,673.4,0.011,-0.167,0.964,3.0,5
43700,2422.52,673.64,0.023,0.033,1.186,3.37,5
43800,2419.75,673.84,0.053,0.001,1.024,3.4,5
43900,2416.52,674.06,0.013,0.031,1.159,3.13,5
44000,2415.46,674.28,0.044,-0.047,1.032,3.27,5
