t_ms,basinc_pa,sicaklik_c,ax_g,ay_g,az_g,durum
4440,82753,20.83,0.15,1.15,9.12,2
4480,82512,20.83,1.48,1.35,7.94,2
4520,82286,20.71,-0.17,-0.14,7.92,2
4560,82075,20.62,-1.07,0.20,9.00,2
4600,81900,20.53,0.07,-0.48,8.46,2
4640,81705,20.46,-0.97,1.76,6.48,2
4680,81519,20.26,-0.67,-0.78,6.81,2
4720,81389,20.34,-0.23,0.45,6.95,2
4760,81189,20.06,1.59,2.08,7.56,2
4800,80855,20.14,-0.09,-0.38,6.48,2
4840,80487,20.21,-0.53,1.36,6.60,2
4880,80150,20.02,-0.55,-0.73,6.47,2
4920,79931,19.87,0.05,-0.14,7.82,2
4960,79681,19.94,-0.68,0.26,6.39,2
5000,79420,19.59,0.08,-0.46,7.00,2
5040,79218,19.60,0.45,-1.03,5.89,2
5080,78998,19.37,-0.81,-0.13,6.91,2
5120,78828,19.32,-1.38,1.12,6.74,2
5160,78750,19.17,-0.69,-0.10,5.32,2
5200,78468,19.00,0.92,-0.33,4.79,2
5240,78293,19.13,-0.93,-0.04,5.03,2
5280,78263,18.82,-0.64,-0.70,5.62,2
5320,78168,18.79,0.19,-0.21,5.83,2
5360,78052,18.69,-0.71,0.22,4.60,2
5400,77802,18.62,-0.22,-0.08,-7.60,3
5440,77574,18.34,-0.28,0.17,-10.58,3
5480,77448,18.28,-0.04,-0.29,-10.23,3
5520,77408,18.31,0.05,-0.20,-9.95,3
5560,77455,18.19,-0.35,0.44,-9.75,3
5600,77545,18.04,-0.29,-0.07,-9.63,3
5640,77685,17.92,-0.05,0.01,-9.29,3
5680,77848,17.86,-0.39,0.04,-9.00,3
5720,77717,17.90,-0.12,-0.12,-8.81,3
5760,77631,17.69,0.11,0.17,-8.59,3
5800,77553,17.57,0.43,0.03,-8.44,3
5840,77510,17.56,-0.27,0.02,-8.24,3
5880,77476,17.49,-0.11,-0.12,-7.92,3
5920,77465,17.48,0.23,0.11,-7.83,3
5960,77468,17.21,0.06,-0.12,-7.78,3
6000,77486,17.29,-0.15,-0.23,-7.42,3
6040,77517,17.31,0.27,0.15,-7.30,3
6080,77564,17.01,-0.08,0.19,-7.14,3
6120,77569,16.99,0.02,-0.09,-4.85,3
6160,77573,16.88,-0.16,0.16,-4.87,3
6200,77592,16.70,-0.19,-0.14,-4.62,3
6240,77612,16.67,0.39,-0.11,-4.59,3
6280,77628,16.52,-0.10,0.00,-4.50,3
6320,77651,16.58,0.01,0.02,-4.61,3
6360,77675,16.42,0.02,-0.17,-4.47,3
6400,77711,16.65,0.37,-0.27,-4.35,3
6440,77744,16.34,-0.22,0.19,-4.34,3
6480,77770,16.29,0.00,0.11,-4.21,3
6520,77803,16.21,-0.05,-0.06,-4.11,3
6560,77838,16.24,0.21,-0.19,-4.14,3
6600,77874,16.10,0.01,-0.18,-4.04,3
6640,77904,15.81,-0.20,0.36,-4.00,3
6680,77937,15.82,-0.14,0.19,-3.85,3
6720,77912,15.84,0.27,-0.34,-3.90,3
6760,77810,15.69,0.06,0.32,-3.79,3
6800,77699,15.65,-0.33,0.41,-3.74,3
6840,77599,15.78,-0.05,-0.27,-3.75,3
6880,77490,15.51,-0.40,0.18,-3.66,3
6920,77380,15.42,-0.26,0.18,-3.55,3
6960,77282,15.39,0.19,-0.05,-3.51,3
7000,77179,15.25,-0.09,0.13,-3.51,3
7040,77074,15.34,0.27,-0.20,-3.41,3
7080,76972,15.10,0.26,-0.17,-3.29,3
7120,76880,15.16,-0.23,0.14,-3.43,3
7160,76784,14.89,0.10,-0.18,-3.29,3
7200,76675,15.11,0.16,0.19,-3.25,3
7240,76582,14.96,-0.09,0.18,-3.31,3
7280,76484,14.78,-0.11,0.12,-3.22,3
7320,76385,14.76,0.11,-0.04,-3.14,3
7360,76292,14.78,-0.21,-0.20,-3.06,3
7400,76199,14.63,0.02,0.07,-3.08,3
7440,76095,14.40,-0.24,0.27,-2.94,3
7480,76007,14.45,0.02,-0.13,-2.98,3
7520,75911,14.46,-0.08,0.36,-2.90,3
7560,75822,14.20,-0.07,-0.36,-2.71,3
7920,75022,13.79,0.09,0.22,-2.58,3
7960,75022,13.70,0.27,0.27,-2.61,3
8000,74845,13.71,0.09,-0.07,-2.54,3
8040,74762,13.65,-0.08,0.13,-2.43,3
8080,74671,13.74,0.08,-0.12,-2.30,3
8120,74591,13.46,0.27,0.34,-2.48,3
8160,74505,13.61,-0.02,-0.10,-2.26,3
8200,74432,13.47,-0.02,-0.00,-2.37,3
8240,74341,13.34,0.04,-0.25,-2.29,3
8280,74267,13.14,0.07,-0.31,-2.22,3
8320,74183,13.18,0.25,0.06,-2.24,3
8360,74096,13.04,-0.16,0.22,-2.31,3
8400,74023,13.01,0.09,0.04,-2.12,3
8440,73948,13.07,0.23,-0.12,-2.06,3
8480,73863,13.08,0.34,0.23,-2.03,3
8520,73791,12.87,0.08,-0.13,-2.07,3
8560,73700,13.02,-0.40,0.00,-2.06,3
8600,73627,13.01,0.16,-0.21,-2.10,3
8640,73550,12.69,0.05,-0.20,-2.12,3
8680,73470,12.68,0.13,-0.08,-1.97,3
8720,73396,12.80,0.17,-0.17,-1.99,3
8760,73324,12.56,-0.16,-0.02,-1.84,3
8800,73254,12.40,0.02,-0.48,-1.99,3
8840,73172,12.58,0.03,-0.31,-1.98,3
8880,73095,12.45,-0.07,-0.19,-1.87,3
8920,73022,12.33,0.14,-0.11,-1.97,3
8960,72945,12.44,-0.46,-0.28,-1.90,3
9000,72871,12.30,0.02,0.08,-1.93,3
9040,72798,12.18,0.03,0.07,-1.69,3
9080,72742,12.23,0.02,-0.23,-1.74,3
9120,72662,12.32,0.31,-0.11,-1.70,3
9160,72591,11.89,-0.00,0.59,-1.71,3
9200,72517,12.12,-0.05,-0.03,-1.81,3
9240,72451,12.16,0.21,-0.33,-1.67,3
9280,72380,11.79,0.31,0.08,-1.61,3
9320,72316,11.89,0.08,-0.14,-1.58,3
9360,72245,11.99,-0.23,0.23,-1.56,3
9400,72184,11.81,-0.07,0.24,-1.58,3
9400,72184,11.81,-0.07,0.24,-1.58,3
9440,72106,11.71,0.07,-0.18,-1.72,3
9480,72039,11.74,0.02,0.06,-1.67,3
9520,71978,11.67,-0.19,0.01,-1.54,3
9560,71903,11.45,0.30,-0.07,-1.69,3
9600,71840,11.50,-0.12,-0.06,-1.54,3
9640,71770,11.53,-0.02,0.07,-1.47,3
9680,71711,11.38,0.10,0.15,-1.68,3
9720,71647,11.35,-0.38,-0.05,-1.53,3
9760,71576,11.18,-0.25,-0.04,-1.51,3
9800,71517,11.19,0.16,-0.05,-1.60,3
9840,71449,11.20,0.30,0.06,-1.38,3
9880,71388,11.36,0.33,-0.29,-1.32,3
9920,71328,11.33,0.27,-0.38,-1.55,3
9960,71259,11.17,0.23,0.01,-1.28,3
10000,71197,11.11,-0.06,-0.04,-1.45,3
10040,71128,10.85,-0.43,-0.20,-1.41,3
10080,71074,11.00,-0.14,-0.23,-1.34,3
10120,71006,10.99,-0.03,-0.06,-1.22,3
10160,70950,10.91,-0.21,0.28,-1.23,3
10200,70888,10.82,0.19,-0.11,-1.29,3
10240,70835,10.70,0.02,-0.03,-1.28,3
10280,70773,10.79,-0.29,-0.01,-1.34,3
10320,70711,10.76,-0.08,-0.19,-1.22,3
10360,70647,10.49,0.03,-0.25,-1.17,3
10400,70594,10.77,-0.04,-0.01,-1.21,3
10440,70530,10.45,0.27,0.06,-1.16,3
10480,70472,10.53,-0.16,0.23,-1.12,3
10520,70420,10.45,-0.38,-0.22,-1.20,3
10560,70359,10.42,0.17,0.05,-1.09,3
10600,70303,10.56,0.26,0.03,-1.20,3
10640,70251,10.41,0.09,0.12,-1.04,3
10680,70194,10.31,0.15,-0.35,-1.16,3
10720,70134,10.27,-0.20,-0.27,-1.11,3
10760,70080,10.30,0.02,-0.55,-1.03,3
10800,70013,10.23,-0.32,0.00,-1.16,3
10840,69969,10.07,0.08,-0.00,-1.11,3
10880,69918,10.01,-0.05,-0.13,-0.98,3
10920,69858,10.08,0.04,0.15,-0.89,3
10960,69812,9.93,-0.34,0.21,-1.03,3
11000,69753,9.92,-0.18,0.27,-0.96,3
11040,69694,9.99,-0.22,-0.45,-0.85,3
11080,69642,10.07,-0.08,-0.24,-0.93,3
11120,69589,9.83,-0.04,0.01,-1.08,3
11160,69535,9.93,0.49,-0.11,-1.14,3
11200,69484,9.78,-0.39,0.04,-1.02,3
11240,69437,9.70,-0.05,-0.16,-1.02,3
11280,69392,9.63,0.14,-0.13,-0.99,3
11320,69325,10.01,0.07,-0.21,-0.90,3
11360,69271,9.68,-0.12,0.15,-0.93,3
11400,69224,9.55,0.03,-0.38,-0.92,3
11440,69180,9.50,0.29,0.15,-0.84,3
11480,69126,9.60,-0.10,-0.19,-0.85,3
11520,69077,9.38,-0.34,-0.12,-0.78,3
11560,69030,9.38,-0.28,0.22,-0.73,3
11600,68977,9.48,-0.17,-0.25,-0.96,3
11640,68931,9.40,0.03,-0.04,-0.82,3
11680,68881,9.17,0.29,-0.22,-0.85,3
11720,68824,9.17,-0.03,0.23,-0.79,3
11760,68784,9.25,0.04,-0.14,-0.81,3
11800,68735,9.24,-0.23,-0.03,-0.80,3
11840,68684,9.33,-0.43,-0.03,-0.89,3
11880,68634,9.04,-0.06,-0.17,-1.01,3
11920,68594,8.97,0.31,0.36,-0.85,3
11960,68541,9.13,0.35,-0.16,-0.82,3
12000,68492,9.02,-0.35,0.08,-0.79,3
12040,68448,9.05,0.14,0.26,-0.55,3
12080,68401,9.01,0.08,-0.43,-0.86,3
12120,68358,9.13,-0.00,-0.11,-0.78,3
12160,68318,8.70,0.17,-0.28,-0.77,3
12200,68261,8.70,-0.03,-0.20,-0.75,3
12240,68225,8.97,-0.10,0.12,-0.91,3
12280,68170,8.83,0.29,-0.01,-0.75,3
12320,68139,8.84,0.23,-0.01,-0.76,3
12360,68084,8.54,-0.17,0.27,-0.60,3
12400,68044,8.70,-0.25,-0.18,-0.67,3
12440,67997,8.61,-0.05,0.27,-0.86,3
12480,67954,8.54,0.03,0.32,-0.65,3
12520,67907,8.70,-0.19,0.10,-0.62,3
12560,67869,8.69,-0.00,0.31,-0.71,3
12600,67827,8.65,0.38,-0.14,-0.60,3
12640,67779,8.51,-0.26,0.27,-0.67,3
12680,67735,8.29,-0.02,0.09,-0.73,3
12720,67703,8.49,0.20,0.12,-0.59,3
12760,67660,8.43,-0.19,-0.07,-0.73,3
12800,67621,8.33,0.06,0.01,-0.63,3
12840,67577,8.34,-0.04,-0.00,-0.61,3
12880,67528,8.33,0.09,-0.15,-0.73,3
12920,67490,8.18,-0.14,0.23,-0.62,3
12960,67455,8.02,0.18,-0.13,-0.59,3
13000,67403,8.14,0.08,-0.16,-0.55,3
13040,67366,8.25,0.46,-0.14,-0.42,3
13080,67327,8.14,-0.02,0.21,-0.60,3
13120,67279,8.06,0.04,0.02,-0.53,3
13160,67245,8.11,0.21,0.12,-0.67,3
13200,67212,8.00,-0.29,0.04,-0.50,3
13240,67168,7.84,-0.00,0.32,-0.59,3
13280,67134,8.01,0.17,0.13,-0.65,3
13320,67088,7.92,-0.19,-0.20,-0.44,3
13360,67061,7.91,-0.36,-0.04,-0.46,3
13400,67017,7.99,-0.21,0.33,-0.69,3
13440,66979,7.90,0.11,0.22,-0.44,3
13480,66940,7.79,-0.12,0.09,-0.76,3
13520,66896,7.82,-0.16,-0.21,-0.61,3
13560,66862,7.92,-0.08,0.10,-0.50,3
13600,66825,7.71,-0.14,-0.26,-0.43,3
13640,66788,7.75,-0.03,0.17,-0.58,3
13680,66749,7.72,-0.26,-0.11,-0.66,3
13720,66717,7.56,-0.39,0.08,-0.42,3
13760,66683,7.64,-0.13,-0.40,-0.50,3
13800,66638,7.53,-0.26,-0.03,-0.44,3
13840,66607,7.63,-0.17,0.18,-0.46,3
13880,66575,7.48,0.32,-0.33,-0.41,3
13920,66541,7.48,0.03,-0.07,-0.34,3
13960,66501,7.43,-0.11,0.17,-0.60,3
14000,66464,7.48,0.05,-0.03,-0.52,3
14040,66434,7.50,0.30,-0.07,-0.36,3
14080,66398,7.46,-0.07,-0.33,-0.50,3
14120,66363,7.53,0.03,-0.09,-0.45,3
14160,66336,7.37,0.09,-0.19,-0.45,3
14200,66295,7.31,0.05,0.12,-0.38,3
14240,66258,7.43,-0.29,0.12,-0.43,3
14280,66223,7.30,-0.16,0.11,-0.39,3
14320,66186,7.33,0.36,0.04,-0.44,3
14360,66160,7.25,-0.44,0.26,-0.41,3
14400,66129,7.25,-0.12,-0.17,-0.43,3
14440,66093,7.34,0.26,-0.08,-0.41,3
14480,66059,7.14,0.10,0.23,-0.34,3
14520,66026,7.05,0.25,-0.37,-0.37,3
14560,65997,7.18,0.21,0.01,-0.24,3
14600,65958,7.11,-0.02,0.30,-0.23,3
14640,65920,7.09,0.09,-0.06,-0.42,3
14680,65902,7.06,-0.26,-0.14,-0.32,3
14720,65861,7.09,0.00,0.14,-0.38,3
14760,65841,6.78,0.11,0.15,-0.30,3
14800,65802,6.97,0.22,-0.22,-0.18,3
14840,65774,7.08,0.13,0.05,-0.29,3
14880,65745,7.05,-0.25,-0.27,-0.51,3
14920,65716,6.91,-0.13,0.28,-0.26,3
14960,65692,7.01,0.29,0.39,-0.20,3
15000,65651,6.88,-0.14,-0.08,-0.27,3
15040,65619,6.95,-0.00,0.15,-0.39,3
15080,65594,6.94,0.12,-0.12,-0.34,3
15120,65558,6.65,-0.29,0.21,-0.36,3
15160,65530,6.71,-0.04,-0.03,-0.28,3
15200,65503,6.79,0.30,0.47,-0.29,3
15240,65477,6.76,0.06,0.01,-0.38,3
15280,65440,6.63,0.03,-0.34,-0.38,3
15320,65421,6.45,-0.18,-0.02,-0.33,3
15360,65391,6.58,0.04,0.06,-0.28,3
15400,65356,6.54,0.03,0.04,-0.26,3
15440,65333,6.62,0.28,-0.05,-0.35,3
15480,65307,6.51,0.30,-0.01,-0.26,3
15520,65272,6.46,-0.14,0.07,-0.35,3
15560,65241,6.57,0.19,-0.13,-0.33,3
15600,65216,6.59,-0.08,-0.07,-0.35,3
15640,65192,6.48,-0.16,0.12,-0.37,3
15680,65162,6.49,-0.15,0.04,-0.31,3
15720,65137,6.38,0.48,0.14,-0.20,3
15760,65113,6.48,0.19,-0.22,-0.33,3
15800,65083,6.48,0.17,-0.08,-0.30,3
15840,65055,6.23,-0.20,0.12,-0.18,3
15880,65035,6.43,-0.05,-0.25,-0.39,3
15920,65014,6.38,0.15,0.23,-0.22,3
15960,64978,6.33,0.02,0.17,-0.32,3
16000,64953,6.08,-0.06,0.20,-0.31,3
16040,64931,6.31,0.06,-0.22,-0.23,3
16080,64905,6.37,0.41,0.06,-0.17,3
16120,64874,6.22,-0.34,-0.08,-0.16,3
16160,64852,6.26,0.07,-0.04,-0.18,3
16200,64831,6.12,0.04,0.16,-0.31,3
16240,64803,6.05,0.17,-0.21,-0.21,3
16280,64770,6.13,-0.18,0.08,-0.30,3
16320,64754,6.37,-0.17,-0.01,-0.25,3
16360,64726,6.07,0.11,0.09,-0.36,3
16400,64700,5.97,-0.04,0.14,-0.14,3
16440,64684,6.13,-0.33,0.04,-0.24,3
16480,64662,6.15,0.16,-0.17,-0.20,3
16520,64629,5.97,-0.20,0.35,-0.32,3
16560,64612,6.17,0.11,0.09,-0.14,3
16600,64585,6.01,0.13,0.00,-0.21,3
16640,64566,6.02,-0.08,0.15,-0.20,3
16680,64541,6.00,0.05,0.23,-0.15,3
16720,64513,5.98,0.09,-0.18,-0.28,3
16760,64494,5.86,0.22,-0.06,-0.20,3
16800,0,5.93,-0.15,-0.07,-0.15,3
16840,64452,5.87,0.07,0.14,-0.24,3
16840,64452,5.87,0.07,0.14,-0.24,3
16880,64423,5.87,0.53,-0.33,-0.09,3
16920,64411,5.91,-0.16,-0.02,-0.12,3
16960,0,5.71,0.11,-0.19,-0.14,3
17000,64359,5.80,-0.24,-0.14,-0.10,3
17040,64336,5.89,-0.12,0.17,-0.14,3
17080,64316,5.68,-0.10,-0.10,-0.18,3
17120,64300,5.70,0.28,-0.07,-0.29,3
17160,64272,5.69,-0.11,0.21,-0.19,3
17200,64254,5.58,-0.03,0.40,-0.32,3
17240,64231,5.51,0.25,0.03,-0.23,3
17280,64210,5.69,-0.17,-0.01,-0.15,3
17320,64193,5.69,-0.45,-0.05,-0.12,3
17360,64170,5.79,-0.01,0.20,-0.26,3
17400,64156,5.52,0.37,0.00,-0.04,3
17440,64134,5.53,-0.36,0.14,-0.20,3
17480,64111,5.69,-0.18,-0.05,-0.22,3
17520,64094,5.53,0.10,0.63,-0.02,3
17560,64069,5.70,-0.25,0.01,-0.05,3
17600,64052,5.66,0.05,-0.35,-0.12,3
17640,64030,5.34,0.06,0.09,-0.17,3
17680,64018,5.43,0.01,-0.07,-0.09,3
17720,63996,5.46,-0.08,0.03,-0.24,3
17760,63975,5.45,-0.15,-0.13,-0.25,3
17800,63957,5.37,-0.25,0.02,-0.15,3
17840,63939,5.38,-0.13,-0.27,-0.13,3
17880,63926,5.51,-0.04,0.10,-0.10,3
17920,63901,5.34,-0.00,-0.13,-0.25,3
17960,63880,5.47,0.03,-0.14,-0.02,3
18000,63865,5.41,0.45,-0.01,-0.21,3
18040,63850,5.34,0.20,-0.01,-0.04,3
18080,63830,5.20,0.17,0.01,-0.11,3
18120,63812,5.37,-0.23,0.11,-0.03,3
18160,63793,5.47,-0.10,-0.21,-0.14,3
18200,63781,5.51,-0.26,-0.10,-0.14,3
18240,63760,5.42,-0.29,-0.32,-0.13,3
18280,63742,5.45,0.17,-0.26,-0.08,3
18320,63728,5.26,-0.00,0.10,-0.08,3
18360,63710,5.29,0.43,-0.20,0.07,3
18400,63688,5.31,0.63,-0.29,-0.06,3
18440,63674,5.25,0.12,-0.04,-0.02,3
18480,63662,5.30,-0.00,0.19,0.05,3
18520,63638,5.14,0.44,0.13,-0.06,3
18560,63632,5.22,0.09,0.02,-0.22,3
18600,63608,5.36,0.03,-0.16,-0.04,3
18640,63592,5.16,-0.45,0.26,0.04,3
18680,63581,5.18,-0.08,-0.13,-0.07,3
18720,63573,5.18,0.47,-0.01,-0.17,3
18760,63554,5.15,-0.05,0.16,-0.09,3
18800,63537,5.11,-0.39,-0.22,-0.18,3
18840,63522,4.96,0.20,0.20,-0.08,3
18880,63508,5.23,0.20,-0.01,-0.08,3
18920,63489,4.96,0.36,0.15,-0.08,3
18960,63476,4.97,-0.08,0.26,0.11,3
19000,63456,5.23,0.26,0.41,-0.02,3
19040,63448,5.13,-0.21,0.21,-0.16,3
19080,63433,5.15,-0.19,0.18,0.05,3
19120,63417,5.01,0.10,0.15,-0.15,3
19160,63402,4.90,-0.10,0.20,-0.18,3
19200,63394,4.98,0.03,-0.14,0.07,3
19240,63380,5.04,-0.20,-0.08,-0.20,3
19280,63363,4.85,-0.23,-0.10,0.00,3
19320,63344,4.84,-0.16,-0.18,-0.03,3
19360,63342,5.02,-0.42,0.01,-0.04,3
19400,63320,4.94,-0.21,-0.03,-0.16,3
19440,63310,5.02,0.13,0.10,-0.08,3
19480,63300,4.99,-0.19,0.10,-0.29,3
19520,63285,4.89,-0.17,0.03,-0.05,3
19560,63274,4.93,-0.04,0.11,-0.18,3
19600,63262,4.88,-0.11,0.08,-0.04,3
19640,63251,4.78,0.15,0.32,-0.15,3
19680,63240,4.99,-0.04,-0.10,-0.00,3
19720,63224,4.87,-0.47,-0.12,-0.07,3
19760,63215,4.77,-0.22,-0.07,-0.02,3
19800,63194,4.69,-0.01,-0.22,-0.10,3
19840,63187,4.96,0.07,-0.52,0.03,3
19880,63175,4.93,0.07,-0.45,-0.06,3
19920,63161,4.80,0.04,-0.23,-0.04,3
19960,63159,4.99,0.23,-0.25,-0.03,3
20000,63139,4.91,0.23,-0.15,-0.08,3
20040,63128,4.73,0.21,-0.06,-0.08,3
20080,0,4.88,0.16,-0.34,-0.20,3
20120,63118,4.82,0.02,-0.21,-0.09,3
20160,63110,4.69,-0.11,0.08,-0.02,3
20200,63095,4.73,0.06,-0.04,-0.01,3
20240,63086,4.83,0.26,0.39,0.00,3
20280,63075,4.65,0.12,0.22,-0.11,3
20320,63069,4.84,-0.25,0.18,-0.08,3
20360,63051,4.71,0.31,-0.05,0.09,3
20400,63050,4.75,-0.08,-0.34,0.08,3
20440,63037,4.80,0.12,0.11,-0.07,3
20480,63025,4.75,0.08,-0.05,-0.04,3
20520,63015,4.85,-0.23,-0.16,-0.14,3
20560,63003,4.80,0.08,-0.20,-0.25,3
20600,62995,4.76,0.23,0.13,0.08,3
20640,62992,4.82,0.16,0.11,-0.09,3
20680,62979,4.58,0.27,0.11,0.02,3
20720,62973,4.84,-0.01,0.01,0.09,3
20760,62957,4.70,-0.08,0.06,0.07,3
20800,62945,4.65,0.28,0.01,-0.04,3
20840,62942,4.83,0.38,-0.34,0.03,3
20880,62944,4.79,0.16,-0.10,0.05,3
20920,62926,4.52,0.00,-0.31,-0.02,3
20960,62923,4.71,-0.01,-0.18,-0.01,3
21000,62909,4.69,-0.22,0.55,0.05,3
21040,62908,4.57,-0.12,-0.17,0.15,3
21080,62898,4.84,0.05,0.04,-0.08,3
21120,62894,4.73,-0.05,-0.01,0.11,3
21160,62886,4.61,-0.10,0.16,-0.02,3
21200,62879,4.77,0.13,0.11,0.05,3
21240,62862,4.62,0.06,0.27,0.05,3
21280,62857,4.53,-0.07,-0.26,0.02,3
21320,62857,4.56,0.15,-0.00,-0.10,3
21360,62855,4.63,0.00,0.27,-0.19,3
21400,62841,4.55,0.09,-0.49,-0.03,3
21440,62839,4.71,-0.21,-0.15,-0.10,3
21480,62824,4.72,-0.28,-0.12,0.06,3
21520,62825,4.62,-0.29,-0.11,-0.08,3
21560,62820,4.50,0.01,0.06,-0.07,3
21600,62812,4.49,0.10,-0.47,-0.06,3
21640,62800,4.67,0.15,0.16,-0.11,3
21680,62805,4.56,-0.18,-0.06,-0.06,3
21720,62794,4.56,0.13,0.18,0.02,3
21760,62799,4.64,0.15,-0.16,-0.08,3
21800,62781,4.36,-0.00,0.17,-0.01,3
21840,62766,4.33,0.11,-0.03,0.03,3
21880,62771,4.66,-0.38,0.03,0.02,3
